"city","site","mean_01","mean_04","mean_06","mean_08","mean_11","mean_16","mean_19"
"ahga","ALIB",35.9828178694158,36.540950744559,36.741981672394,36.975372279496,37.3390607101947,38.1523482245132,38.3313287514318
"ahga","ARPT",17.365671641791,17.5594144661309,17.8906429391504,18.9560849598163,19.3622273249139,20.0232491389208,20.457233065442
"ahga","BARN",35.4753581661891,35.5985673352436,35.7604584527221,35.985100286533,36.4719197707736,37.2570200573066,37.6699140401146
"ahga","BBPK",13.7716580608147,14.2905909351692,15.1012621916236,15.9104991394148,16.2002294893861,16.8571428571429,16.9566838783706
"ahga","BHVN",31.3938091143594,33.0114646030381,33.3370593293207,33.5566064775007,33.719403840642,34.3811980510175,34.5574663227286
"ahga","BZOO",17.2550143266476,17.6441260744986,17.9206303724928,18.5636103151862,18.6467048710602,19.3315186246418,19.5283667621777
"ahga","CSHS",16.6559448592763,17.3319931074095,17.7024698449167,17.9261918437679,17.9856404365307,18.2754164273406,18.3943136128662
"ahga","CVMD",21.5757228743201,24.0040080160321,24.5127397652448,25.2722588033209,25.4065273403951,28.2044088176353,28.3255081591755
"ahga","DCKR",17.1141957641671,17.2424155695478,17.2985117344018,17.881511161992,17.9997137950773,19.4736691471093,19.8895248998283
"ahga","DUDP",38.8726752503577,38.9808297567954,39.2346208869814,39.6792560801144,39.9567954220315,41.0560801144492,41.450643776824
"ahga","DXBH",22.1337725580063,24.7189916929247,24.9596104268118,25.9152105413922,26.1303351475222,26.4554568891435,28.0913778287024
"ahga","FIRE",26.3555427914991,27.3900057438254,27.7530155083285,28.3963239517519,28.7656519241815,29.5910396323952,30.0746697300402
"ahga","HALP",46.3329516175208,46.5284855425136,46.644431720584,46.9395934726596,47.2393358144861,48.0959060979101,48.359576295448
"ahga","LDFN",1.24600456621005,1.28453196347032,1.36786529680365,1.44292237442922,1.53224885844749,1.56050228310502,1.64440639269406
"ahga","LDFS",2.81768746422438,2.84315970234688,3.11104751001717,3.1751574127075,3.21322266742988,3.76044647967945,3.83056668574699
"ahga","MBRD",22.347664087131,24.8681570650616,26.1430209229005,29.6850100315277,29.9160217827458,30.9850960160504,32.487532244196
"ahga","NDA1",9.3997138769671,9.76022889842632,10.1170243204578,10.2472103004292,10.429756795422,10.6826895565093,10.7711015736767
"ahga","NOWR",17.3124820659971,20.4143472022956,20.6550932568149,20.9345767575323,23.2510760401722,24.8898134863702,25.1736011477762
"ahga","RDIO",3.27520045819015,3.96363115693013,4.93785796105384,5.0418098510882,5.10824742268041,5.29410080183276,5.29410080183276
"ahga","RHDR",19.5208929593589,19.9075558099599,20.0500858614768,20.2544361763022,20.389811104751,20.815970234688,20.9253005151689
"ahga","SEPK",6.00399543378995,9.71603881278539,10.4434931506849,10.5368150684932,11.0730593607306,12.7103310502283,12.8013698630137
"ahga","STPK",27.5641319942611,27.7228120516499,28.6662840746055,28.8482065997131,28.9319942611191,30.4186513629842,31.0169296987088
"ahga","UGACF",1.40034266133638,1.40091376356368,1.42233009708738,1.42490005711022,1.85294117647059,1.87521416333524,1.91462021701885
"ahga","UGDF",2.49626865671642,2.51578645235362,2.63461538461538,2.81257175660161,2.88662456946039,3.36567164179104,3.40470723306544
"ahga","UGLH",22.4876720183486,23.415997706422,23.5854357798165,24.4592889908257,24.8772935779816,25.4696100917431,26.3471903669725
"ahga","UGRC",17.6899513312339,19.2115659891211,19.4812482107071,19.6346979673633,21.2994560549671,21.5734325794446,22.1471514457486
"ahga","WARN",41.7753872633391,41.9825014343087,42.135685599541,42.4787722317843,42.9503729202524,43.7911646586345,44.0120481927711
"ahga","WSBS",36.176217765043,36.7137535816619,37.5518624641834,37.6203438395415,37.6997134670487,38.0361031518625,38.6220630372493
